EVENT_ID,BEGIN_DATE,BEGIN_TIME,BEGIN_LAT,BEGIN_LON,
10119365,3/20/1955,1500,29.08,-98,
10119367,3/20/1955,1600,29.48,-98.5,
10119370,3/20/1955,1815,30.58,-96.28,
10119371,3/20/1955,1955,32.5,-94.68,
10119374,3/31/1955,1415,33.5,-97,
10119376,3/31/1955,1700,32.78,-96.9,
10119591,3/31/1955,1725,32.58,-96.78,
10119592,3/31/1955,1940,30.58,-97.28,
10119597,4/5/1955,655,33,-99.78,
10119598,4/5/1955,655,32.78,-99.68,
10119603,4/5/1955,850,33.5,-98,
10119610,4/6/1955,300,33.78,-96.58,
10119613,4/6/1955,425,33.5,-97.18,
10119616,4/6/1955,440,33.38,-96.9,
10119624,4/11/1955,1925,33.7,-99.28,
10119633,4/20/1955,1445,31.5,-96.08,
10120495,5/6/1955,1730,31.5,-96.9,
10120510,5/11/1955,1900,30.9,-98.5,
10120511,5/14/1955,1800,32.78,-97.08,
10120724,5/14/1955,1850,32.88,-97,
10120729,5/15/1955,1654,32.78,-97.08,
10120731,5/15/1955,1700,32.58,-95.18,
10120734,5/15/1955,1815,30.08,-101.9,
10120736,5/15/1955,1839,32.38,-95.28,
10120749,5/19/1955,30,32.38,-99.4,
10120750,5/19/1955,115,32.78,-97.08,
10120760,5/23/1955,845,32.38,-95.28,
10120770,5/26/1955,150,34,-98.5,
10120774,5/30/1955,2153,31.78,-103.18,
10120775,5/31/1955,2100,35.2,-100.28,
10120776,6/1/1955,1330,34.2,-101.68,
10121634,6/3/1955,1930,34,-98.5,
10121637,6/4/1955,1830,31.7,-99,
10121638,6/4/1955,1830,31.7,-99,
10121639,6/5/1955,1515,31,-98.18,
10121640,6/5/1955,1600,30.78,-97.58,
10121642,6/5/1955,1730,31.7,-96.5,
10121859,6/5/1955,2330,28.88,-96.9,
10121860,6/8/1955,1300,33.7,-100.68,
10121861,6/8/1955,1330,32.78,-98.08,
10121862,6/8/1955,1350,33.78,-97.78,
10121865,6/8/1955,1500,33.7,-101.18,
10121866,6/8/1955,1530,33,-102.58,
10121867,6/8/1955,1530,32.78,-97.08,
10121868,6/8/1955,1534,32.78,-96.78,
10121870,6/8/1955,1700,32,-102.18,
10121871,6/8/1955,1700,31.4,-100.5,
10121872,6/8/1955,1900,31.5,-96.5,
10121873,6/9/1955,1600,29.88,-93.9,
10121876,6/14/1955,2000,32.58,-100.4,
10121878,6/14/1955,2041,32.38,-99.68,
10121879,6/14/1955,2315,31.7,-99,
10121882,6/15/1955,1800,33.2,-98.58,
10121883,6/15/1955,1830,32,-98.5,
10121885,6/15/1955,2030,29.08,-94.18,
10121887,6/16/1955,200,33.88,-97.58,
10121899,6/16/1955,1700,30.5,-99.78,
10121903,6/18/1955,200,34.38,-100.18,
10121904,6/18/1955,245,32.78,-97.08,
10121905,6/18/1955,330,32.28,-97.4,
10122763,6/19/1955,200,32.7,-96.9,
10122768,6/19/1955,2330,33.7,-101.78,
10122774,6/22/1955,1700,30.9,-96.68,
10122776,7/11/1955,1745,29.78,-95.4,
10122777,7/15/1955,2158,32.88,-97.08,
10122778,7/25/1955,1430,29.58,-95.5,
10122780,8/3/1955,1500,29.48,-97.4,
10118806,8/4/1955,1800,32.78,-98.9,
10118808,8/7/1955,1400,31.5,-106.18,
10118809,8/9/1955,1715,31.4,-97.78,
10118814,9/10/1955,1821,32.78,-97.08,
10118816,9/20/1955,1830,35.2,-101.68,
10118818,10/4/1955,1600,33.7,-101.18,
10118826,2/17/1956,1533,32.78,-96.78,
10118837,4/5/1956,1230,30.38,-99,
10118839,4/5/1956,1510,30.58,-96.28,
10118841,4/5/1956,1600,30.58,-97.4,
10118842,4/5/1956,1630,30.7,-95.58,
10118843,4/9/1956,1300,28,-97.5,
10118850,4/22/1956,1740,33.58,-99,
10119720,5/2/1956,30,34.38,-100.28,
10119721,5/2/1956,108,29.28,-94.78,
10119722,5/2/1956,138,34,-98.9,
10119724,5/7/1956,1630,33.28,-102.18,
10119726,5/7/1956,1900,32.08,-101.68,
10119727,5/7/1956,2000,32.28,-101.4,
10119728,5/7/1956,2005,32.38,-101.18,
10119952,5/26/1956,1930,31.6,-97.18,
10119960,5/27/1956,2055,33,-99.78,
10119961,5/27/1956,2125,34,-98.9,
10119965,5/31/1956,1330,32.7,-98.5,
10119967,5/31/1956,1430,33.5,-101.4,
10119968,5/31/1956,1445,31.6,-97.18,
10119969,5/31/1956,1623,30.58,-97.68,
10119970,5/31/1956,1715,30.38,-97.4,
10119971,5/31/1956,1810,32.28,-101.4,
10119972,6/3/1956,500,31.7,-97.18,
10119973,6/3/1956,1730,32.5,-99.78,
10119974,6/4/1956,2220,34.38,-101.18,
10119975,6/5/1956,1900,34.08,-101.5,
10119976,6/6/1956,1500,35.88,-102.4,
10119977,6/8/1956,1900,32.88,-98.18,
10119979,6/9/1956,2300,33.7,-101.9,
10119980,6/11/1956,1500,30.08,-94.28,
10119981,6/15/1956,500,29.28,-94.78,
10119987,7/2/1956,1950,31.28,-101.5,
10119990,7/6/1956,1300,33.08,-95.58,
10119991,7/6/1956,1345,32.58,-97.18,
10119992,7/8/1956,1630,34.38,-100.28,
10119993,7/8/1956,1715,34.28,-99.68,
10119994,7/8/1956,1730,34.38,-100.28,
10119995,7/8/1956,1800,34.2,-99.28,
10119996,7/8/1956,1900,33.5,-97.18,
10120849,7/24/1956,1350,32.7,-97,
10120853,7/25/1956,1632,27.5,-99.5,
10120854,7/30/1956,1630,31.9,-102,
10120856,8/14/1956,1800,32.78,-97.28,
10120859,8/20/1956,1500,28,-97.08,
10120861,8/30/1956,1630,32.78,-96.78,
10120862,8/30/1956,1800,33.08,-95.58,
10120863,8/30/1956,1820,33.08,-95.58,
10120864,8/30/1956,2000,32,-97.08,
10121076,8/30/1956,2100,33.08,-96.08,
10121078,8/31/1956,1500,32.08,-97.4,
10121079,8/31/1956,2030,31.78,-96.9,
10121080,8/31/1956,2030,31.6,-97.18,
10121082,9/3/1956,1530,31.4,-97,
10121084,9/7/1956,1600,31.7,-96.78,
10121086,9/24/1956,2140,34.38,-100.28,
10121087,9/26/1956,1335,27.7,-97.5,
10121089,10/3/1956,1640,28.7,-96.68,
10121092,10/4/1956,1330,27.78,-97.68,
10121093,10/4/1956,1330,27.78,-97.68,
10121096,10/14/1956,2100,34.38,-100.58,
10121098,10/15/1956,1940,27.88,-98.58,
10121099,10/15/1956,2000,28.2,-98,
10121100,10/18/1956,220,29.38,-100.58,
10121108,10/20/1956,1424,30.58,-96.28,
10121110,10/20/1956,1730,30.08,-94.08,
10121111,10/20/1956,1745,29.28,-94.78,
10121114,11/2/1956,500,30.78,-98.68,
10121115,11/2/1956,510,31.7,-98.08,
10121120,3/2/1957,2011,31.78,-94.58,
10121126,3/11/1957,210,30.7,-97,
10121991,3/17/1957,1800,29.28,-94.78,
10121996,3/20/1957,1645,31.6,-98.4,
10122220,3/20/1957,2030,30.28,-96.08,
10122222,3/20/1957,2134,30.78,-96.28,
10122226,3/27/1957,1705,31.6,-97.18,
10122235,3/31/1957,1400,30.58,-95.5,
